forecast_date,forecast_date_parsed,wind,likely_snow_discrete,actual_snow_discrete,scrapped_date,days_from_actual,forecast_date_ordinal
Fri Aug 14,2020-08-14 00:00:00,NE,3.5,3.5,2020-08-14,0.0,Fri
Sat Aug 15,2020-08-15 00:00:00,SW,2.0,3.5,2020-08-14,1.0,Sat
Sun Aug 16,2020-08-16 00:00:00,SW/NW,3.5,3.5,2020-08-14,2.0,Sun
Mon Aug 17,2020-08-17 00:00:00,NW,2.0,2.0,2020-08-14,3.0,Mon
Tue Aug 18,2020-08-18 00:00:00,N,22.5,7.5,2020-08-14,4.0,Tue
Wed Aug 19,2020-08-19 00:00:00,NW,30.0,22.5,2020-08-14,5.0,Wed
Thu Aug 20,2020-08-20 00:00:00,NW,22.5,15.0,2020-08-14,6.0,Thu
Fri Aug 21,2020-08-21 00:00:00,W,7.5,,2020-08-14,7.0,Fri
Sat Aug 22,2020-08-22 00:00:00,W,3.5,,2020-08-14,8.0,Sat
Sun Aug 23,2020-08-23 00:00:00,NW,0.0,,2020-08-14,9.0,Sun
Mon Aug 24,2020-08-24 00:00:00,NW,0.0,2.0,2020-08-14,10.0,Mon
Tue Aug 25,2020-08-25 00:00:00,NW,2.0,2.0,2020-08-14,11.0,Tue
Wed Aug 26,2020-08-26 00:00:00,NW,2.0,0.0,2020-08-14,12.0,Wed
Thu Aug 27,2020-08-27 00:00:00,NW,2.0,3.5,2020-08-14,13.0,Thu
Sat Aug 15,2020-08-15 00:00:00,SW,3.5,3.5,2020-08-15,0.0,Sat
Sun Aug 16,2020-08-16 00:00:00,SW,3.5,3.5,2020-08-15,1.0,Sun
Mon Aug 17,2020-08-17 00:00:00,NW,2.0,2.0,2020-08-15,2.0,Mon
Tue Aug 18,2020-08-18 00:00:00,NW,7.5,7.5,2020-08-15,3.0,Tue
Wed Aug 19,2020-08-19 00:00:00,NW,30.0,22.5,2020-08-15,4.0,Wed
Thu Aug 20,2020-08-20 00:00:00,NW,15.0,15.0,2020-08-15,5.0,Thu
Fri Aug 21,2020-08-21 00:00:00,NW,15.0,,2020-08-15,6.0,Fri
Sat Aug 22,2020-08-22 00:00:00,NW,15.0,,2020-08-15,7.0,Sat
Sun Aug 23,2020-08-23 00:00:00,NW,2.0,,2020-08-15,8.0,Sun
Mon Aug 24,2020-08-24 00:00:00,NW,0.0,2.0,2020-08-15,9.0,Mon
Tue Aug 25,2020-08-25 00:00:00,NW,3.5,2.0,2020-08-15,10.0,Tue
Wed Aug 26,2020-08-26 00:00:00,NW,3.5,0.0,2020-08-15,11.0,Wed
Thu Aug 27,2020-08-27 00:00:00,NW,2.0,3.5,2020-08-15,12.0,Thu
Fri Aug 28,2020-08-28 00:00:00,NW,0.0,0.0,2020-08-15,13.0,Fri
Sun Aug 16,2020-08-16 00:00:00,SW,3.5,3.5,2020-08-16,0.0,Sun
Mon Aug 17,2020-08-17 00:00:00,NW,2.0,2.0,2020-08-16,1.0,Mon
Tue Aug 18,2020-08-18 00:00:00,Fresh N/NW,7.5,7.5,2020-08-16,2.0,Tue
Wed Aug 19,2020-08-19 00:00:00,Fresh NW,22.5,22.5,2020-08-16,3.0,Wed
Thu Aug 20,2020-08-20 00:00:00,Fresh NW,15.0,15.0,2020-08-16,4.0,Thu
Fri Aug 21,2020-08-21 00:00:00,Fresh NW,22.5,,2020-08-16,5.0,Fri
Sat Aug 22,2020-08-22 00:00:00,Fresh W,15.0,,2020-08-16,6.0,Sat
Sun Aug 23,2020-08-23 00:00:00,W,7.5,,2020-08-16,7.0,Sun
Mon Aug 24,2020-08-24 00:00:00,NW,2.0,2.0,2020-08-16,8.0,Mon
Tue Aug 25,2020-08-25 00:00:00,NW,2.0,2.0,2020-08-16,9.0,Tue
Wed Aug 26,2020-08-26 00:00:00,NW,2.0,0.0,2020-08-16,10.0,Wed
Thu Aug 27,2020-08-27 00:00:00,NW,2.0,3.5,2020-08-16,11.0,Thu
Fri Aug 28,2020-08-28 00:00:00,NW,2.0,0.0,2020-08-16,12.0,Fri
Sat Aug 29,2020-08-29 00:00:00,NW,2.0,,2020-08-16,13.0,Sat
Mon Aug 17,2020-08-17 00:00:00,W/NW,2.0,2.0,2020-08-17,0.0,Mon
